2021-09-10 09:09:10,833 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17373,"state":"CANDIDATE","term":58,"voteFor":"192.168.66.1:8848"}, term: 58

2021-09-10 09:09:10,834 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":19623,"state":"CANDIDATE","term":59,"voteFor":"192.168.66.1:8848"}, term: 59

2021-09-10 09:09:10,834 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15512,"state":"CANDIDATE","term":60,"voteFor":"192.168.66.1:8848"}, term: 60

2021-09-10 09:09:10,834 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15884,"state":"CANDIDATE","term":61,"voteFor":"192.168.66.1:8848"}, term: 61

2021-09-10 09:09:10,834 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":19255,"state":"CANDIDATE","term":62,"voteFor":"192.168.66.1:8848"}, term: 62

2021-09-10 09:09:10,834 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":16756,"state":"CANDIDATE","term":63,"voteFor":"192.168.66.1:8848"}, term: 63

2021-09-10 09:09:10,834 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15098,"state":"CANDIDATE","term":64,"voteFor":"192.168.66.1:8848"}, term: 64

2021-09-10 09:09:10,834 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17647,"state":"CANDIDATE","term":65,"voteFor":"192.168.66.1:8848"}, term: 65

2021-09-10 09:09:10,835 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":18411,"state":"CANDIDATE","term":66,"voteFor":"192.168.66.1:8848"}, term: 66

2021-09-10 09:09:10,835 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":19706,"state":"CANDIDATE","term":67,"voteFor":"192.168.66.1:8848"}, term: 67

2021-09-10 09:09:10,835 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":16875,"state":"CANDIDATE","term":68,"voteFor":"192.168.66.1:8848"}, term: 68

2021-09-10 09:09:10,835 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15583,"state":"CANDIDATE","term":69,"voteFor":"192.168.66.1:8848"}, term: 69

2021-09-10 09:09:10,835 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":18943,"state":"CANDIDATE","term":70,"voteFor":"192.168.66.1:8848"}, term: 70

2021-09-10 09:09:10,835 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15278,"state":"CANDIDATE","term":71,"voteFor":"192.168.66.1:8848"}, term: 71

2021-09-10 09:09:10,836 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":18547,"state":"CANDIDATE","term":72,"voteFor":"192.168.66.1:8848"}, term: 72

2021-09-10 09:09:10,836 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17555,"state":"CANDIDATE","term":73,"voteFor":"192.168.66.1:8848"}, term: 73

2021-09-10 09:09:10,836 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15429,"state":"CANDIDATE","term":74,"voteFor":"192.168.66.1:8848"}, term: 74

2021-09-10 09:09:10,836 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":18982,"state":"CANDIDATE","term":75,"voteFor":"192.168.66.1:8848"}, term: 75

2021-09-10 09:09:10,836 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":16769,"state":"CANDIDATE","term":76,"voteFor":"192.168.66.1:8848"}, term: 76

2021-09-10 09:09:10,837 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":18761,"state":"CANDIDATE","term":77,"voteFor":"192.168.66.1:8848"}, term: 77

2021-09-10 09:09:10,837 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":16120,"state":"CANDIDATE","term":78,"voteFor":"192.168.66.1:8848"}, term: 78

2021-09-10 09:09:10,837 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":19352,"state":"CANDIDATE","term":79,"voteFor":"192.168.66.1:8848"}, term: 79

2021-09-10 09:09:10,837 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":16324,"state":"CANDIDATE","term":80,"voteFor":"192.168.66.1:8848"}, term: 80

2021-09-10 09:09:10,837 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15058,"state":"CANDIDATE","term":81,"voteFor":"192.168.66.1:8848"}, term: 81

2021-09-10 09:09:10,837 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17666,"state":"CANDIDATE","term":82,"voteFor":"192.168.66.1:8848"}, term: 82

2021-09-10 09:09:10,838 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":18145,"state":"CANDIDATE","term":83,"voteFor":"192.168.66.1:8848"}, term: 83

2021-09-10 09:09:10,838 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17413,"state":"CANDIDATE","term":84,"voteFor":"192.168.66.1:8848"}, term: 84

2021-09-10 09:09:10,838 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15901,"state":"CANDIDATE","term":85,"voteFor":"192.168.66.1:8848"}, term: 85

2021-09-10 09:09:10,838 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":18358,"state":"CANDIDATE","term":86,"voteFor":"192.168.66.1:8848"}, term: 86

2021-09-10 09:09:10,838 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":16030,"state":"CANDIDATE","term":87,"voteFor":"192.168.66.1:8848"}, term: 87

2021-09-10 09:09:10,838 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":18653,"state":"CANDIDATE","term":88,"voteFor":"192.168.66.1:8848"}, term: 88

2021-09-10 09:09:10,839 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":19516,"state":"CANDIDATE","term":89,"voteFor":"192.168.66.1:8848"}, term: 89

2021-09-10 09:09:10,839 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":16839,"state":"CANDIDATE","term":90,"voteFor":"192.168.66.1:8848"}, term: 90

2021-09-10 09:09:10,839 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17236,"state":"CANDIDATE","term":91,"voteFor":"192.168.66.1:8848"}, term: 91

2021-09-10 09:09:10,840 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":16518,"state":"CANDIDATE","term":92,"voteFor":"192.168.66.1:8848"}, term: 92

2021-09-10 09:09:10,840 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":18161,"state":"CANDIDATE","term":93,"voteFor":"192.168.66.1:8848"}, term: 93

2021-09-10 09:09:10,840 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15872,"state":"CANDIDATE","term":94,"voteFor":"192.168.66.1:8848"}, term: 94

2021-09-10 09:09:10,840 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":19495,"state":"CANDIDATE","term":95,"voteFor":"192.168.66.1:8848"}, term: 95

2021-09-10 09:09:10,840 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15311,"state":"CANDIDATE","term":96,"voteFor":"192.168.66.1:8848"}, term: 96

2021-09-10 09:09:10,840 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17977,"state":"CANDIDATE","term":97,"voteFor":"192.168.66.1:8848"}, term: 97

2021-09-10 09:09:10,840 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":16026,"state":"CANDIDATE","term":98,"voteFor":"192.168.66.1:8848"}, term: 98

2021-09-10 09:09:10,840 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17307,"state":"CANDIDATE","term":99,"voteFor":"192.168.66.1:8848"}, term: 99

2021-09-10 09:09:10,840 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15212,"state":"CANDIDATE","term":100,"voteFor":"192.168.66.1:8848"}, term: 100

2021-09-10 09:09:10,841 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15978,"state":"CANDIDATE","term":101,"voteFor":"192.168.66.1:8848"}, term: 101

2021-09-10 09:09:10,841 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17064,"state":"CANDIDATE","term":102,"voteFor":"192.168.66.1:8848"}, term: 102

2021-09-10 09:09:10,841 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17201,"state":"CANDIDATE","term":103,"voteFor":"192.168.66.1:8848"}, term: 103

2021-09-10 09:09:10,842 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":19610,"state":"CANDIDATE","term":104,"voteFor":"192.168.66.1:8848"}, term: 104

2021-09-10 09:09:10,842 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":16193,"state":"CANDIDATE","term":105,"voteFor":"192.168.66.1:8848"}, term: 105

2021-09-10 09:09:10,842 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15415,"state":"CANDIDATE","term":106,"voteFor":"192.168.66.1:8848"}, term: 106

2021-09-10 09:09:10,842 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":18194,"state":"CANDIDATE","term":107,"voteFor":"192.168.66.1:8848"}, term: 107

2021-09-10 09:09:10,842 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":16685,"state":"CANDIDATE","term":108,"voteFor":"192.168.66.1:8848"}, term: 108

2021-09-10 09:09:10,843 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17846,"state":"CANDIDATE","term":109,"voteFor":"192.168.66.1:8848"}, term: 109

2021-09-10 09:09:10,843 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":19380,"state":"CANDIDATE","term":110,"voteFor":"192.168.66.1:8848"}, term: 110

2021-09-10 09:09:10,843 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":19096,"state":"CANDIDATE","term":111,"voteFor":"192.168.66.1:8848"}, term: 111

2021-09-10 09:09:10,843 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":19208,"state":"CANDIDATE","term":112,"voteFor":"192.168.66.1:8848"}, term: 112

2021-09-10 09:09:10,843 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15689,"state":"CANDIDATE","term":113,"voteFor":"192.168.66.1:8848"}, term: 113

2021-09-10 09:09:10,843 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":19586,"state":"CANDIDATE","term":114,"voteFor":"192.168.66.1:8848"}, term: 114

2021-09-10 09:09:10,844 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":16652,"state":"CANDIDATE","term":115,"voteFor":"192.168.66.1:8848"}, term: 115

2021-09-10 09:09:10,844 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15573,"state":"CANDIDATE","term":116,"voteFor":"192.168.66.1:8848"}, term: 116

2021-09-10 09:09:10,844 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":16349,"state":"CANDIDATE","term":117,"voteFor":"192.168.66.1:8848"}, term: 117

2021-09-10 09:09:10,844 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15786,"state":"CANDIDATE","term":118,"voteFor":"192.168.66.1:8848"}, term: 118

2021-09-10 09:09:10,845 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":19785,"state":"CANDIDATE","term":119,"voteFor":"192.168.66.1:8848"}, term: 119

2021-09-10 09:09:10,845 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":19388,"state":"CANDIDATE","term":120,"voteFor":"192.168.66.1:8848"}, term: 120

